Gen	theta_7OLMXRB	theta_8LMXRB	theta_9LM	theta_10XRB	theta_11RB	tau_7OLMXRB	tau_8LMXRB	tau_9LM	tau_10XRB	tau_11RB	lnL
475290	0.010459	0.00062858	0.0032417	0.00070339	0.002087	0.0011989	0.00073323	4.4505e-05	0.00048929	7.018e-05	-15981712.274
475320	0.010332	0.00062024	0.0031965	0.00068357	0.0023279	0.0012029	0.00075067	4.5921e-05	0.00050862	6.6358e-05	-15982080.361
475350	0.010312	0.00061287	0.003141	0.00067422	0.0024933	0.001188	0.0007441	4.5825e-05	0.00050508	6.8493e-05	-15981814.508
475380	0.010434	0.00061279	0.0031209	0.00070148	0.0023129	0.0011817	0.0007379	4.5631e-05	0.0004896	7.2257e-05	-15981998.389
475410	0.010329	0.00060864	0.0031775	0.00069213	0.0018943	0.0011862	0.00074776	4.5779e-05	0.00049944	9.0649e-05	-15982146.011
475440	0.010355	0.00059596	0.0030709	0.00068213	0.0023312	0.001179	0.00075064	4.6117e-05	0.00049812	8.0434e-05	-15982023.623
475470	0.010397	0.00060192	0.003181	0.00069823	0.0023783	0.0011914	0.00075839	4.7295e-05	0.00049657	8.0262e-05	-15981728.347
475500	0.010398	0.00059704	0.0031151	0.00068417	0.0028435	0.001184	0.00075397	4.6966e-05	0.00049974	6.0523e-05	-15982191.499
475530	0.010433	0.00060482	0.0030339	0.00074671	0.0023752	0.0011939	0.00075521	4.9238e-05	0.00048165	7.826e-05	-15981989.665
475560	0.010365	0.00061128	0.0030756	0.0007416	0.0024762	0.0011829	0.00073942	4.898e-05	0.0004799	7.0047e-05	-15982032.830
475590	0.010453	0.00061215	0.0030267	0.00074308	0.0022924	0.0011936	0.00074871	4.9322e-05	0.00048566	7.688e-05	-15981790.303
475620	0.01044	0.00061465	0.0032652	0.00076656	0.0028824	0.0011909	0.00074105	4.9169e-05	0.00046787	6.565e-05	-15981701.813
475650	0.01031	0.00061473	0.003314	0.00083855	0.0024364	0.001191	0.00073793	4.8958e-05	0.00044552	6.5858e-05	-15981880.084
475680	0.010391	0.00061092	0.0033092	0.00079294	0.002478	0.0011896	0.00074112	5.0191e-05	0.00047026	6.4264e-05	-15981896.831
475710	0.010372	0.00061166	0.0031913	0.00077797	0.002266	0.0011946	0.00074571	5.0376e-05	0.00048285	7.4525e-05	-15981533.729
475740	0.010345	0.00061175	0.0031873	0.00075566	0.0024361	0.0011942	0.00074851	5.0474e-05	0.00048557	6.1219e-05	-15982170.699
475770	0.010406	0.00061072	0.0032477	0.00075911	0.0024668	0.0011938	0.00074986	5.1925e-05	0.00048342	6.4783e-05	-15981708.344
475800	0.010439	0.0006149	0.0032744	0.00077061	0.0023407	0.0011906	0.00074278	5.1856e-05	0.00047494	6.694e-05	-15981943.384
475830	0.010451	0.00061436	0.0032788	0.0007433	0.0019794	0.0011902	0.00073796	4.9797e-05	0.0004813	7.4993e-05	-15981744.855
475860	0.01035	0.00060528	0.0031748	0.00072454	0.0022062	0.0011921	0.00075331	5.0771e-05	0.00049658	7.6715e-05	-15981816.087
475890	0.010376	0.0006174	0.0033009	0.00072732	0.0020634	0.0011945	0.00074515	5.0998e-05	0.00049912	9.1699e-05	-15982259.274
475920	0.010285	0.00060778	0.0034161	0.00070079	0.0022624	0.0011853	0.00074394	4.9792e-05	0.00050912	9.5461e-05	-15981942.735
